n1	t	n2
employée	Syn_∩	personnel N b
salarié N	Syn_⊃^sex	salariée
salariée	Syn_⊂^sex	salarié N
mayo	Gener	sauce I
mayo	Sing	flacon b
mayo	Sing	pot 1 I.1b
mayo	Sing	tube II.b
mayo	Syn	mayonnaise
travail 1 I.1a	V_0	travailler I.1
travail 1 I.1a	Syn_∩	ouvrage I
travail 1 I.2	V_0	travailler I.2
travail 1 I.2	Syn_∩	emploi II.a
travail 1 I.2	Syn	emploi II.a
travail 1 I.2	Syn	boulot
vétérinaire N, fém	Syn_⊂^sex	vétérinaire N, masc
vétérinaire N, fém	Gener	médecin N, fém
vétérinaire N, fém	S_locFact_0	cabinet II.a
vétérinaire N, fém	S_locFact_0	clinique 1
vétérinaire N, fém	Fact_2	examiner 2
vétérinaire N, fém	Fact_2	s’occuper 2
vétérinaire N, fém	Fact_2	soigner II
vétérinaire N, fém	Fact_2	traiter I.2
vétérinaire N, fém	Fact_3	diagnostiquer
vétérinaire N, fém	Fact_3	s’occuper 2
vétérinaire N, fém	Fact_3	soigner II
vétérinaire N, fém	Fact_3	traiter I.2
vétérinaire N, fém	S_2	animal N I.1a
vétérinaire N, fém	Syn	véto N, fém
floral 1	S_0	fleur I.1
salarial	S_0	salaire
salarié Adj 1	S_0Pred	salariat
salarié Adj 2	Syn_∩	rémunéré
salariat	SingS_1	salarié N
salariat	SingS_1	salariée
maintenant I.1	Syn_⊃	en ce moment
maintenant I.1	Syn_∩	tout de suite
maintenant I.1	Contr	après Prép I.2
maintenant I.1	Contr	avant Prép I.2
maintenant I.1	Contr	plus tard
alter ego	Syn_∩	jumeau N II.2
rémunération	Syn_⊃	salaire
travailleur Adj	Syn	bosseur
travailler I.2	Syn	bosser
travailler I.2	S_0	travail 1 I.2
travailler I.2	S_1	travailleur N
travailler I.2	S_1	travailleuse
travailler I.2	S_1	employé N
travailler I.2	S_1	employée
travailler I.2	S_3	employeur I
travailler I.2	S_3	employeuse
travailler I.2	S_3	patron I
travailler I.2	S_3	patronne I
travailler I.2	S_3	employeur II
travailler I.2	S_4	salaire
travailler I.2	S_4	rémunération
travailler I.2	S_4	alter ego
s’employer	Syn_⊂	agir I
s’employer	Syn_∩	s’efforcer
s’employer	Syn_∩	faire des pieds et des mains
empoisonnement	V_0	empoisonner 1
empoisonneur	Syn_⊃^sex	empoisonneuse
empoisonneuse	Syn_⊂^sex	empoisonneur
toxicité	S_1	toxique N
toxicité	S_1	poison
empoisonné	S_2	poison
s’empoisonner	S_2	poison
emprisonnement	V_0	emprisonner
emprisonné	S_loc	prison I
prisonnier N	Syn_⊃^sex	prisonnière
prisonnier N	Syn_⊃	otage N, masc
prisonnière	Syn_⊂^sex	prisonnier N
prisonnier Adj II	Syn_∩	esclave Adj II
emprunt 1	V_0	emprunter I.1a
inflexible I	Anti	flexible Adj I
alimentation II	Syn_∩	aliment I
alimentation II	Syn_∩	assiette 1 III
vêto N, masc	Syn_⊃^sex	véto N, fém
vêto N, masc	Syn	vétérinaire N, masc
véto N, fém	Syn_⊂^sex	vêto N, masc
véto N, fém	Syn	vétérinaire N, fém
emprunteur N	Syn_⊃^sex	emprunteuse
emprunteur N	Conv_321	prêteur N
emprunteur N	Conv_321	prêteuse
emprunteuse	Syn_⊂^sex	emprunteur N
emprunteuse	Conv_321	prêteuse
emprunteuse	Conv_321	prêteur N
emprunteur Adj	V_0	emprunter I.2
emprunté	S_3	emprunteur N
emprunté	S_3	emprunteuse
serveuse	Syn_⊂^sex	serveur 1
enseignant N	Syn_⊃^sex	enseignante
enseignant N	Syn_⊃	maître N IV.1
enseignant N	Syn_⊃	enseignant-chercheur
jeune N, masc	Syn_⊃^sex	jeune N, fém
jeune N, masc	Syn_∩	gamin N II
enseignante	Syn_⊂^sex	enseignant N
enseignante	Syn_⊃^sex	maîtresse III
prêt N 1	V_0	prêter I
prêt Adj 1	Syn_∩	fait Adj I.1
prêt Adj 1	Syn_∩	achevé 1
prêteur N	Syn_⊃^sex	prêteuse
prêteur N	Conv_321	emprunteur N
prêteur N	Conv_321	emprunteuse
prêteuse	Syn_⊂^sex	prêteur N
prêteuse	Conv_321	emprunteuse
prêteuse	Conv_321	emprunteur N
secrétaire N, masc I	Syn_⊃^sex	secrétaire N, fém
prêteur Adj	Anti_∩	égoïste Adj
se prêter	Syn_∩	accepter 1
carcéral	S_0	prison I
carcéral	Syn_∩	pénitentiaire
prisonnier Adj I.1	S_loc	prison I
maîtresse I.2	Syn_⊂	maître N I.2
maîtresse I.1	Syn_⊂^sex	maître N I.1
maîtresse III	Syn_⊂^sex	maître N IV.1
maîtresse III	Syn_⊂	enseignante
maîtresse III	Syn_∩	institutrice
désencadrer	Anti_∩	encadrer I.1a
encadrement I	V_0	encadrer I.1a
encadrement II	Syn_⊃	cadre 1 II
enseignable	S_1^usual	enseignant N
enseignable	S_1^usual	enseignante
encadreur	Syn_⊃^sex	encadreuse
encadreuse	Syn_⊂^sex	encadreur
encadré	Syn_∩	entouré I
Bon app’ !	Syn	Bon appétit !
Bon app’ !	S_3	repas I.1a
Bon app’ !	S_3^prototyp	déjeuner N I
Bon app’ !	S_3^prototyp	dîner N I
Bon app’ !	S_3^prototyp	petit-déjeuner N I
en cloque	Syn	enceinte Adj
étudier I.2	Syn_∩	observer II
enceinte N	Syn_∩	remparts
encerclement	V_0	encercler
encerclé	Syn_⊂	entouré I
jeune N, fém	Syn_⊂^sex	jeune N, masc
jeune N, fém	Syn_∩	gamine II
floristique	S_0	flore
désenchaîner	Anti	enchaîner
s’enchaîner	Syn_∩	se suivre II.2
enchaîné	Syn_∩	attaché I
enchanter	A_2Perf	enchanté II
enchanté II	V_0Conv_21	enchanter
encombrer II	Syn_∩	embarrasser II
encombrement	V_0	encombrer I
étude I.1	A_1∩	studieux
encombrant	Syn_∩	volumineux
encombré	Anti_∩	dégagé
s’encombrer	Syn_∩	s’embarrasser
mot II	Syn_∩	lettre II
geste 2	Syn_∩	signe II
exhortation	Syn_∩	encouragement 1
incitation 1	Syn_∩	encouragement 1
appuyer I.2	Syn_∩	s’appuyer I
appuyer I.2	S_0	appui II
appuyer I.2	A_1	appuyé
appuyer IV	S_0	appui III.2
s’appuyer I	A_1	appuyé
s’appuyer I	Syn_∩	appuyer I.2
s’appuyer I	Syn_∩	s’adosser I
appuyer I.3	Syn_⊂	placer I.b
appuyer III	Syn_∩	asseoir II
appui III.2	V_0	appuyer IV
appui III.2	Syn_∩	encouragement 2
végétal N	Mult	flore
végétal N	Mult	végétation
végétal N	Syn_∩	plante 1
végétal N	A_0	végétal Adj
étude I.2	V_0⊂	étudier I.1
étude I.2	Syn_∩	investigation
soutien II.2	Syn_∩	encouragement 2
Allez !	Syn_∩	Vas-y !
Allez !	Syn_∩	là III.2
Vas-y !	Syn_∩	Allez !
étude I.3	Syn_∩	enquête II.2
étude I.3	Syn_∩	sondage II
incitation 2	Syn_∩	exhortation
invitation I	V_0	inviter I
invitation II	Syn_∩	encouragement 2
secrétariat II	S_1	secrétaire N, masc I
secrétariat II	S_1	secrétaire N, fém
étude II	Syn_⊂	ouvrage II
stimulant	Syn_∩	encouragement 2
aide N, fém I.2	Syn_∩	encouragement 2
appui III.1	Syn_∩	encouragement 1
informaticienne	Syn_⊂^sex	informaticien
soutien II.1	Syn_∩	encouragement 1
étude III.1	Syn_⊂	salle I.1
encourager II	Syn_∩	soutenir II
encourager I.2	Syn_∩	pousser IV.2
encourager I.2	S_0	encouragement 2
gâteau I.b	Syn_∩	biscuit 1 2
gâteau I.b	Sing	paquet 1c
gâteau I.b	Hypo	palet II
s’endormir I	Anti	se réveiller I
s’endormir I	S_res	sommeil I.1a
s’endormir I	A_1Perf	endormi I
s’endormir I	Qual_1	somnolent
s’endormir I	Caus	endormir a
s’endormir I	S_med	somnifère
s’endormir I	Result_1	dormir I.1a
s’endormir I	S_0	endormissement
s’endormir I	Syn_∩	piquer du nez II.2
étude III.2	Syn_∩	cabinet II.a
maître N II.2	Syn_∩	chef N, masc I.1
maître N II.2	Syn_∩	directeur N
professeure	Syn_⊂^sex	professeur
professeure	Syn_⊂^sex	prof N, masc
professeure	Syn	prof N, fém
maître N I.2	Contr	esclave N, masc I
maître N I.2	Syn_⊃^sex	maîtresse I.2
maître N II.1	Syn_⊂	dirigeant N
maître N II.1	Syn_∩	chef N, masc I.1
maître N V	Conv_21∩	esclave N, masc II
prof N, masc	Syn_⊃^sex	prof N, fém
prof N, masc	Syn_⊃^sex	professeure
prof N, masc	Syn	professeur
prof N, fém	Syn_⊂^sex	prof N, masc
prof N, fém	Syn_⊂^sex	professeur
prof N, fém	Syn	professeure
maître N III.2a	Syn_⊂	artisan
maître N III.2b	Syn_⊂	peintre N, masc
se réveiller I	Anti	s’endormir I
se réveiller I	Caus	réveiller a
se réveiller I	S_0	réveil I
se réveiller I	A_1Perf	réveillé
se réveiller I	S_instr	réveil III
somnolent	S_0Pred	somnolence
maître N IV.2	Syn_∩	gourou II
somnifère	Syn_∩	narcotique
réveil I	V_0	se réveiller I
réveillé	Anti	endormi I
réveil III	Syn	réveil-matin
vieillesse	S_1	vieux N I
vieillesse	S_1	vieille
énergétique	S_0	énergie II
énergétiquement	A_0	énergétique
énergie I.2	Adv_0	énergiquement
énergique 2	S_0	énergie I.2
énergique 1	S_0	énergie I.1
énergiquement	A_0	énergique 1
naître II	Syn_⊂	commencer I.1
naître II	Syn_∩	apparaître III
naître II	S_0	naissance II
institutrice	Syn_⊂^sex	instituteur
institutrice	Syn_⊂^sex	instit N, masc
institutrice	Syn	instit N, fém
institutrice	Syn_∩	maîtresse III
instit N, masc	Syn_⊃^sex	instit N, fém
instit N, masc	Syn_⊃^sex	institutrice
instit N, masc	Syn	instituteur
damné N	Syn_⊃^sex	damnée
damnée	Syn_⊂^sex	damné N
damné Adj	Syn_∩	maudit
paradisiaque	S_0	paradis I
instit N, fém	Syn_⊂^sex	instit N, masc
instit N, fém	Syn_⊂^sex	instituteur
instit N, fém	Syn	institutrice
néonatal	S_0	nouveau-né
enfermement	S_3^prototyp	prison I
enfermé	Syn_∩	prisonnier Adj II
s’enfermer	A_1Perf	enfermé
moutarde N II	Gener	sauce I
moutarde N II	Sing	flacon b
moutarde N II	Sing	pot 1 I.1b
moutarde N II	Sing	tube II.b
moutarde N II	Sing	verre II.1b
moutarde N II	Cf	ketchup
moutarde N II	Cf	mayonnaise
enfilage	V_0	enfiler I
enfiler I	S_0	enfilage
s’enfiler	Syn_⊃	boire V I.1
s’enfiler	Syn_⊃	manger V I.1a
s’enfiler	Syn_∩	s’envoyer II
s’enfiler	Syn_∩	se taper I
enflammé I	Cf	incandescent
enflammer I	Result_2	s’enflammer
verre II.1a	Gener	récipient
verre II.1a	Syn_⊃	dé à coudre II.a
verre II.1a	AntiMagn_taille	dé à coudre II.a
vivant Adj	S_1Pred	vivant N
vivant Adj	S_1Pred	vivante N
désenfler	Anti	enfler I.1
enflure	Syn_∩	gonflement 2
enflé	Syn_∩	gonflé II
enfoncement	V_0	s’enfoncer I.1
s’enfoncer I.1	S_0	enfoncement
flou N I	Anti_∩	netteté II.2
flou N II	Syn_∩	vague N, masc
vu	Syn_⊃	surveillé
voisine	Syn_⊂^sex	voisin N I
voisinage	Syn	voisin N I
voisin Adj I	Syn_∩	avoisinant 1
voisin Adj I	Syn_∩	proche Adj I
voisin Adj I	Syn_∩	suivant Adj I.2
net Adj III.1	Anti	flou Adj I
net Adj III.1	Adv_0	nettement I
voirie	Sing	voie I.1a
fuite	V_0⊂	s’enfuir
fuite	S_1	fugitif N
fuite	S_1	fugitive
vieillarde	Syn_⊂^sex	vieillard
vieillarde	Syn	grand-mère II
vieillarde	Syn	mamie II
vieillarde	Syn	mémé II
vieillarde	Syn_⊂	vioque
fuyard N	Syn_⊃^sex	fuyarde
fuyarde	Syn_⊂^sex	fuyard N
fuyard Adj	Syn_∩	fugitif Adj
brûler I.2	S_0	combustion
brûler I.2	Incep	s’enflammer
travailleur N	Syn_⊃^sex	travailleuse
travailleur N	Fact_0	travailler I.2
travailleur N	Syn_∩	actif N I.2
travailleuse	Syn_⊂^sex	travailleur N
travailleuse	Fact_0	travailler I.2
travailleuse	Syn_∩	active I.2
bosser	Syn	travailler I.2
veuvage	S_1	veuf N
veuvage	S_1	veuve
patronne I	Syn_⊂^sex	patron I
patronne I	Syn_∩	chef N, fém
patronne II	Syn_⊂^sex	patron II
patron II	Syn_⊃^sex	patronne II
patronal	S_0	patron I
patronat	SingS_1	patron I
patronat	SingS_1	patronne I
parrainage	S_1	marraine
parrainage	S_1	parrain I
fugitif N	Syn_⊃^sex	fugitive
fugitive	Syn_⊂^sex	fugitif N
maternellement	A_0	maternel a
paternellement	A_0	paternel Adj a
engagement II	V_0	s’engager II.1
s’engager II.1	S_0	engagement II
s’engager II.1	A_1Perf	engagé Adj II
s’engager II.1	S_1	engagé N 1
s’engager II.1	S_1	engagée 1
s’engager II.1	Anti	se désengager
s’engager II.1	Syn_∩	commencer III.2b
s’engager II.1	Syn_∩	se lancer
s’engager II.1	Syn_∩	partir 1 IV.1a
engagé Adj III	S_1^prototyp	colonne I.2
engagé Adj II	Syn_∩	convaincu
engagé Adj II	Syn_∩	passionné Adj 1b
engagé Adj I	S_1∩	salarié N
engagé Adj I	S_1∩	salariée
engagé N 2	Syn_⊃^sex	engagée 2
engagée 2	Syn_⊂^sex	engagé N 2
engagement III	V_0	engager III.2
s’engager III.2b	S_1^usual	engagé N 2
s’engager III.2b	S_1^usual	engagée 2
s’engager III.2b	Syn_∩	entrer II.1
engagé N 1	Syn_⊃^sex	engagée 1
engagée 1	Syn_⊂^sex	engagé N 1
se désengager	Anti	s’engager II.1
enlaidir I.2	Syn	s’enlaidir
enlaidir I.2	S_0	enlaidissement
enlaidir I.2	Anti	embellir 2
enlaidir I.2	Anti	s’embellir
enlaidir I.2	A_1Perf	enlaidi
s’enlaidir	S_0	enlaidissement
s’enlaidir	Syn	enlaidir I.2
enlaidissement	V_0	enlaidir I.2
enlaidissement	V_0	s’enlaidir
embellir 2	Anti	enlaidir I.2
embellir 2	Anti	s’enlaidir
embellir 2	Syn	s’embellir
s’embellir	Syn	embellir 2
s’embellir	Anti	s’enlaidir
s’embellir	Anti	enlaidir I.2
étudier I.3	S_0	étude I.4
étudier I.3	Syn_∩	creuser III.2
étudier II	S_0	études I.5
croulant	Syn_⊂	vieux N I
croulant	Syn_⊂	vioc
étudier III	Syn_∩	observer I.2
étudier I.4	S_0	étude I.2
vivre III.1	Syn_∩	habiter I
vivre III.1	Syn_∩	être V II
vivre I.2	S_0	vie I.2
étudiante	Syn_⊂^sex	étudiant N
étudiante	A_0	estudiantin
étudiante	A_0	étudiant Adj
vivre II.2	Syn_∩	traverser IV
estudiantin	Syn	étudiant Adj
estudiantin	S_0	étudiant N
estudiantin	S_0	étudiante
voleter I	Syn_⊂	voler 1 I.1
vol 1 1	V_0	voler 1 I.1
se poser I.1	Anti_∩	s’envoler I.1
vol 1 2a	V_0	voler 1 I.2
vol 1 2a	A_1	en Prép II.a
vol 1 2b	V_0	voler 1 II.2
vol 1 2b	Syn_∩	avion II
vol 1 2b	Syn_⊂	voyage a
vol 1 2b	S_instr	avion I
décoller 2 I	S_1^prototyp	avion I
décoller 2 I	S_1^prototyp	hélicoptère
décoller 2 I	S_loc	piste II.3
décoller 2 I	S_loc	aéroport
décoller 2 I	S_loc	aérodrome
décoller 2 I	Contr	atterrir
décoller 2 I	S_0	décollage II
aérodrome	S_2	avion I
aérodrome	Syn_∩	aéroport
pilotage	V_0∩	voler 1 II.1
pilotage	V_0	piloter 1
piloter 2	Syn_∩	conduire II
piloter 2	S_2	véhicule I.a
piloter 2	S_2^prototyp	auto I
piloter 2	S_2^prototyp	automobile N I
piloter 2	S_2^prototyp	voiture 2a
piloter 2	S_2^prototyp	bateau N 1 I
survoler II	Syn_∩	consulter II
survoler II	Syn_∩	naviguer III
survol	V_0	survoler I.2
gousse	Gener	fruit I.1
étudiant Adj	Syn	estudiantin
étudiant Adj	S_0	étudiant N
étudiant Adj	S_0	étudiante
survoler I.2	S_0	survol
survoler I.2	Syn_⊂	voler 1 I.2
enlever III.1	S_0	enlèvement
enlever III.1	S_1	ravisseur I
enlever III.1	A_2Perf	enlevé II
enlever III.1	S_2	victime N I.1
enlever III.1	Syn_⊃	kidnapper I
enlever III.1	S_0⊃	kidnapping
enlèvement	V_0	enlever III.1
enlèvement	Syn_⊃	kidnapping
enlèvement	Syn_∩	rapt
enlèvement	Gener	forfait
enlèvement	Gener	crime I.a
enlevé II	S_2	ravisseur I
ravisseur I	Syn_⊃^sex	ravisseuse I
enlaidi	A_1∩	laid Adj
énormité	A_1	énorme I
enquêteur 1	Syn_⊃^sex	enquêtrice 1
enquêteur 1	Syn_⊃^sex	enquêteuse
oignon 1	Mult	botte 2
oignon 1	Mult	filet II.b
oignon 2	S_1^usual	cultivateur
oignon 2	S_1^usual	cultivatrice
oignon 2	Gener	plante 1
enquêteuse	Syn_⊂^sex	enquêteur 1
enquêter 1	S_0	enquête I
enquêter 2	S_0	enquête II.1
enquête II.1	V_0	enquêter 2
enquête II.1	S_1	enquêteur 2
enquête II.1	S_1	enquêtrice 2
enquêteur 2	Syn_⊃^sex	enquêtrice 2
enquêtrice 1	Syn_⊂^sex	enquêteur 1
enquêtrice 2	Syn_⊂^sex	enquêteur 2
opposant N I	Syn_∩	ennemi N I
opposant N I	Syn_⊃^sex	opposante
antagoniste N, masc	Syn_∩	ennemi N I
antagoniste N, masc	Syn_⊃^sex	antagoniste N, fém
bête noire I	Syn_∩	ennemi N I
opposante	Syn_⊂^sex	opposant N I
opposant Adj	Syn_∩	ennemi Adj II
allié N b	Syn_⊃^sex	alliée
allié N b	Anti_⊂	ennemi N I
alliée	Syn_⊂^sex	allié N b
allié Adj	S_1/2	allié N b
allié Adj	S_1/2	alliée
saucier	Syn_⊂	cuisinier
ennemi Adj II	S_1	ennemi N IV
ennemi Adj II	Syn_∩	opposant Adj
acharné	Syn_∩	tenace
farouche II	Syn_∩	acharné
juré	Syn_⊂	vrai Adj III
mortel I.2	Syn_∩	létal
mortel II	Syn_∩	grand Adj III.2
irréconciliable	Anti	réconciliable
héréditaire II	Cf	génétique
être V IV.1	Syn_∩	consister
valoir III	Syn_∩	procurer
inimitié	S_1/2	ennemi N I
inimitié	S_1/2	ennemie I
nuire II	Syn_∩	atteindre II.1
vivre III.2	Syn_∩	subsister
hostile I	Syn_⊃	agressif
adversaire N, masc III	Syn_∩	ennemi N II
adversaire N, masc III	Anti_∩	ami N II
adversaire N, masc III	Syn_⊃^sex	adversaire N, fém II
opposant N II	Syn_∩	ennemi N II
anti- 1	Syn_∩	contre Prép I.2
anti- 1	Anti	pro-
anti- 1	Anti_∩	en faveur
anti- 1	Anti_∩	pour Prép IV.1
misanthrope	Syn_∩	ennemi N II
misogyne N, masc	Syn_∩	ennemi N II
misogyne N, masc	Syn_⊃^sex	misogyne N, fém
misogyne N, masc	A_1	misogyne Adj 2
misogyne Adj 1	S_0	misogynie
défenseur II.1	Anti_∩	ennemi N II
défenseur II.1	Syn_∩	ami N II
défenseur II.1	Syn_∩	avocat 1 II
défenseur II.1	Syn_∩	combattant N II
défenseur II.1	Syn_⊃^sex	défenseuse II.2
partisan	Anti_∩	ennemi N II
partisan	Syn_∩	ami N II
protectrice	Syn_⊂^sex	protecteur N
protectrice	Syn_∩	gardien
protecteur N	Syn_⊃^sex	protectrice
protecteur N	Anti_∩	ennemi N II
protecteur Adj II	S_0Pred_∩	protection II
supporter N, masc 1	Syn_⊃^sex	supporter N, fém
supporter N, masc 2	Anti_∩	ennemi N II
ennemie II	Syn_⊂^sex	ennemi N II
combattre II	S_0	combat II.2
lutter II	S_0	lutte II
bête noire II	Syn_∩	épouvantail II
hostile II	Syn_∩	opposé Adj
déclaré I.1	Syn_∩	réputé 2
déclaré I.2	Syn_∩	officiel
déclaré II	Syn_∩	vrai Adj III
adversaire N, masc II	Syn_∩	ennemi N III.a
ennemi Adj I.b	S_1	ennemi N III.a
coriace	Syn_∩	opiniâtre
coriace	Syn_∩	obstiné Adj a
tenace	S_0Pred	tenacité
redoutable	Syn_∩	dangereux 2
rencontrer 1	Syn_∩	tomber V IV.1
rencontrer 1	Syn_∩	trouver II
rencontrer 1	Syn_∩	croiser II
rencontrer 1	Syn_∩	croiser la route
rencontrer 1	S_0	rencontre 1
faire face	Anti_∩	tourner le dos I
battre 1 IV.2	Syn_∩	vaincre
battre 1 IV.2	Syn_∩	gagner II.2
battre 1 IV.2	S_2^prototyp	adversaire N, fém I
battre 1 IV.2	S_2^prototyp	adversaire N, masc I
battre 1 IV.2	S_2^prototyp	compétitrice
battre 1 IV.2	S_2^prototyp	compétiteur
battre 1 IV.2	S_2^prototyp	record
battre 1 IV.2	S_3^prototyp	compétition
défaire II	S_0Conv_21	défaite
défaire II	A_2Perf	défait II
terrasser	Syn_∩	anéantir
repousser 1 II	Anti_∩	céder IV
fuir I.2	Syn_∩	arrêter V.1a
allié N a	Contr	ennemi N III.a
empêcher I.2	Anti_∩	permettre
empêchement II	Syn_∩	ennemi N IV
danger II	Syn_∩	méfait II
danger II	Syn_∩	ennemi N IV
bénédiction I	V_0	bénir
bénédiction III	Anti_∩	ennemi N IV
bénédiction II	Syn_∩	autorisation
mauvais Adj I.1b	Anti	bon Adj I.2
mauvais Adj I.2	Anti_∩	bon Adj I.4
s’enregistrer	S_0∩	enregistrement Ia
vinaigrier	S_resFact_0	vinaigre
combattant N II	Syn_∩	avocat 1 II
combattant N II	Syn_∩	défenseur II.1
combattant N II	Syn_∩	ami N II
combattant N II	Syn_∩	apôtre II
combattant N II	Syn_⊃^sex	combattante II
ennemi Adj I.a	S_1	ennemi N I
impitoyable	Syn_⊂	sévère I.1
se faire I	Syn_∩	se trouver II
instruire I.2	Syn_∩	renseigner 1
ancien N II.1	Syn_∩	grand-père II
ancien N II.1	Syn_∩	papi II
ancien N II.1	Syn_∩	pépé II
ancien N II.1	Syn_∩	pépère II
ancien N II.1	Syn_⊂	petit vieux
ancien N II.1	Syn_⊂	vieux N I
ancien N II.1	Syn_⊃	vieillard
ancien N II.1	Syn_⊃	croulant
ancien N II.1	Syn_⊃^sex	ancienne 1
reculer I.3	Anti	avancer I.2
instructeur a	Syn_⊃^sex	instructrice
actif N I.2	Syn_∩	travailleur N
active I.2	Syn_∩	travailleuse
petit vieux	Syn_⊃^sex	petite vieille
petit vieux	Syn_∩	vieux N I
petit vieux	Syn_∩	vioc
instructeur b	Syn_⊂	militaire N, masc
petite vieille	Syn_⊂^sex	petit vieux
petite vieille	Syn_⊂	vioque
souper V	S_0	souper N II
souper V	Syn_⊂	manger V I.1a
souper V	Syn_⊂	bouffer 1 I.1a
souper V	Syn	dîner V
instructrice	Syn_⊂^sex	instructeur a
souper N II	V_0	souper V
souper N II	Syn	dîner N II
souper N II	Syn_⊂	repas II.a
vieillir 2	Anti	rajeunir 1
dînatoire	S_0	dîner N II
dîneur	Syn_⊃^sex	dîneuse
instruction I.1	V_0	instruire I.1
instruction I.1	S_1	instructeur a
instruction I.1	S_1	instructrice
instruction I.2	Syn_∩	savoir N
agresseuse	Syn_⊂^sex	agresseur
agresseuse	Fact_2	agresser
dîneuse	Syn_⊂^sex	dîneur
enregistrement Ia	V_0	enregistrer I
petit-déjeuner V	Syn_⊂	manger V I.1a
petit-déjeuner V	Syn_⊂	bouffer 1 I.1a
enregistrer II	S_2	enregistrement II.2
enregistrement II.1	V_0	enregistrer II
petit-déj II	Syn_⊂	repas II.a
petit-déj II	Syn	petit-déjeuner N II
goûter V II	S_0	goûter N I
goûter V II	S_0	quatre-heures I
goûter V II	Syn_⊂	manger V I.1a
goûter V II	Syn_⊂	bouffer 1 I.1a
goûter V II	S_1^prototyp	enfant N, masc I.2
goûter V II	S_2	goûter N II
goûter V II	S_2	quatre-heures II
instruction II	Syn_∩	indication I.b
instruction III	V_0	instruire II
vieillissement	V_0	vieillir 1
quatre-heures I	Syn	goûter N I
quatre-heures I	V_0	goûter V II
quatre-heures I	S_1^prototyp	enfant N, masc I.2
quatre-heures I	S_2	quatre-heures II
quatre-heures I	S_2	goûter N II
collation	Syn	en-cas
collation	Syn_⊃	goûter N II
collation	Syn_⊂	repas II.a
vieillissant	Anti	rajeunissant
attaquante II	Syn_⊂^sex	attaquant II
attaquant II	Syn_⊃^sex	attaquante II
en-cas	Syn	collation
en-cas	Syn_⊃	goûter N II
en-cas	Syn_∩	casse-croûte 1
en-cas	Syn_∩	repas II.a
en-cas	Syn_∩	bouffe 2
enregistré	S_2^prototyp	registre
enregistré	Syn_∩	inscrit Adj
registre	Labreal_12	enregistrer I
enrhumé	Syn_⊂	malade Adj I.1a
s’enrichir	Caus	enrichir
s’enrichir	S_0	enrichissement
s’enrichir	A_1Perf	enrichi
enrichissement	V_0	enrichir
se dérouler I	Syn_∩	se déployer
enrouler 2	Anti_⊂	dérouler
enrouler 2	Syn	rouler 1 IV.2
enrouler 2	S_res	enroulement II
lycéen Adj	S_0⊃	lycée
lycéen Adj	S_0⊃	lycéen N
lycéen Adj	S_0⊃	lycéenne
entrée V	Syn_⊃	hors-d’œuvre I
s’enrouler	S_0	enroulement I
s’enrouler	A_1Perf	enroulé II
enroulement I	V_0	s’enrouler
enroulé II	Syn_∩	lové
ensoleillement	A_1	ensoleillé I
ensoleillement	Syn_∩	soleil II.1
pleuvoir I	Syn	flotter IV
pleuvoir I	S_0	pluie I
pleuvoir I	Syn_⊂	tomber V I.2b
pleuvoir I	Magn^quant	à verse
pleuvoir I	Magn^quant	comme vache qui pisse
pleuvoir I	Magn^quant	dru II.b
pleuvoir I	Magn^quant	cordes IV
pleuvoir I	Syn_⊃	pleuvioter
pleuvoir I	AntiMagn^quant	pleuvioter
lycéen N	Syn_⊃^sex	lycéenne
lycéen N	A_0⊂	lycéen Adj
pluvial	S_0	pluie I
pluvieux	S_0	pluie I
flotte II	Syn	pluie I
flotte II	V_0	flotter IV
vieille	Syn_⊂^sex	vieux N I
vieille	Syn_⊃	grand-mère II
vieille	Syn	vioque
lycéenne	Syn_⊂^sex	lycéen N
lycéenne	A_0⊂	lycéen Adj
vieux Adj I.2	Syn_∩	ancien Adj I.1a
surnager I.2	Syn_∩	flotter I
surnager I.2	Syn_∩	nager II.1
flottant	Syn_⊂	mobile Adj
couler II	Anti_⊂	flotter I
couler II	Syn_∩	se noyer
fluctuer	Syn	flotter V.1
flottement	V_0	flotter V.2
gouvernement	SingS_1	ministre N, masc I
gouvernable	Anti	ingouvernable
ingouvernable	Anti	gouvernable
hôtel de ville	Syn	mairie 1
mairie 2	Cap	maire
mairie 2	SingS_1	conseiller municipal
mairie 2	SingS_1	conseillère municipale
mairie 2	S_loc	commune
mairie 2	Syn_∩	conseil municipal 1
mairie 2	Syn_∩	municipalité
conseiller municipal	Syn_⊃^sex	conseillère municipale
conseillère municipale	Syn_⊂^sex	conseiller municipal
conseil municipal 1	SingS_1	conseiller municipal
conseil municipal 1	SingS_1	conseillère municipale
conseil municipal 1	S_loc	commune
conseil municipal 1	Cap	maire
conseil municipal 1	Syn_∩	mairie 2
conseil municipal 1	Syn_∩	municipalité
maître N I.1	Syn_∩	hôte N, masc 2b
maître N I.1	Syn_⊃^sex	maîtresse I.1
administré	Syn_⊃^sex	administrée
administrée	Syn_⊂^sex	administré
maître N III.3	Syn_⊂	avocat 1 I
monarchique	Contr	démocratique a
monarchique	Contr	républicain Adj
monarchique	S_0	monarchie a
sujette	Syn_⊂^sex	sujet N III
royaume I	Syn_∩	empire 1
royaume I	Syn_∩	pays I.1a
empire 1	Syn_∩	royaume I
empire 1	Syn_∩	pays I.1a
dévorer I.1	S_0	dévoration I
dévorer I.1	A_1	dévoreur Adj
